feature,frac_compound,frac_source,frac_plate_within_source,frac_residual,ss_total,compartment,feature_type,channel
Image_Texture_Contrast_RNA_10_03_256,0.008683674766769608,0.8985148822509528,0.023777274698137528,0.06902416828414022,79427.54555769113,Image,Texture,RNA
Image_Texture_DifferenceEntropy_RNA_5_03_256,0.10458688031225759,0.7697267220413013,0.01646212730048801,0.10922427034595301,6509.090619903736,Image,Texture,RNA
Cells_RadialDistribution_MeanFrac_mito_tubeness_2of16,0.22187668232274682,0.14640557989833794,0.04910207230533659,0.5826156654735786,39324.56988101341,Cells,RadialDistribution,
Cells_RadialDistribution_RadialCV_Mito_1of4,0.05041628290173753,0.7847677768622378,0.04562839572414808,0.11918754451187676,6432.070417329016,Cells,RadialDistribution,Mito
Cells_Texture_Contrast_AGP_10_02_256,0.11023922168789799,0.4473192440045454,0.011296096627396635,0.43114543768016006,65761.16805108993,Cells,Texture,AGP
Cells_Texture_Correlation_AGP_10_00_256,0.025977223459184674,0.7775423384456719,0.034958119654007434,0.16152231844113607,7967.7864090618295,Cells,Texture,AGP
Cells_Granularity_6_AGP,0.37464599665068204,0.17575748287061485,0.006918427416169865,0.4426780930625332,60006.50953984526,Cells,Granularity,AGP
Cytoplasm_Texture_InfoMeas1_RNA_5_01_256,0.04175190646326539,0.5451644496785384,0.16010017908073884,0.25298346477745726,19236.16882768538,Cytoplasm,Texture,RNA
Nuclei_Texture_Correlation_Mito_10_00_256,0.10635785385148845,0.6330970639699007,0.023579782959503172,0.23696529921910756,8021.857084325677,Nuclei,Texture,Mito
Nuclei_Texture_Variance_ER_5_00_256,0.08177576525283872,0.5579731553393164,0.014454544747283877,0.34579653466056104,59721.329374817506,Nuclei,Texture,ER
Cytoplasm_Granularity_10_Mito,0.0449330334571197,0.6236126405111109,0.09393790953702073,0.23751641649474875,7513.424072551259,Cytoplasm,Granularity,Mito
Cells_Granularity_14_Mito,0.21221697605666903,0.3909417243400259,0.031163613301459798,0.3656776863018452,13680.328210919042,Cells,Granularity,Mito
Cytoplasm_Intensity_MeanIntensity_RNA,0.005172445267475745,0.9495325791348641,0.007919557443784813,0.03737541815387549,13131.078932414395,Cytoplasm,Intensity,RNA
Cells_Texture_SumAverage_RNA_5_01_256,0.00928337469313353,0.9228301388135158,0.011371660370820987,0.056514826122529664,10473.95340676207,Cells,Texture,RNA
Nuclei_Location_MaxIntensity_Y_DNA,0.05834066778190095,0.3160358688728908,0.04464992798968444,0.5809735353555238,20205.42099021328,Nuclei,Location,DNA
Nuclei_Texture_AngularSecondMoment_DNA_5_01_256,0.0006684054926010191,0.9735876745812324,0.005087245803749517,0.020656674122417014,560470.8618083134,Nuclei,Texture,DNA
Cytoplasm_Texture_Variance_AGP_3_00_256,0.08761293409490828,0.4784002974169202,0.012849457748281562,0.4211373107398898,41374.07387180058,Cytoplasm,Texture,AGP
Nuclei_Texture_DifferenceVariance_RNA_3_03_256,0.01545672788009856,0.7452977473445025,0.07947408049562046,0.15977144427977857,276213.5657740425,Nuclei,Texture,RNA
Nuclei_Texture_Correlation_ER_10_03_256,0.04263772686045252,0.3057159626013606,0.046825853552848684,0.6048204569853382,44831.05446509078,Nuclei,Texture,ER
