target_gene,n_pseudobulk_samples,ss_target,ss_guide_within_target,ss_batch_within_target,perturbation_quality
MTG2,8,16087.208889698644,0.0,173794.9172096287,0.08472208111511995
VARS2,7,26236.945247146832,9.34429987972708e-27,284678.1716743275,0.0843862000244051
SIGLEC14,4,10443.794035719719,0.0,113687.85821192029,0.08413481853028566
HMGB1,10,25577.301681404984,10532.783356963128,269473.95416819956,0.08369973035180454
C19orf53,11,26782.594952739288,1.5992344071042455e-26,293349.90183266916,0.08366096919767638
EARS2,18,43456.696068227786,2.5478080391402645e-26,476129.0368583705,0.08363720039704574
BAP1,19,61174.96490624569,2.7509628532111656e-26,670342.6160551052,0.08362747047835863
GEMIN5,11,29813.832287967904,1.562784948122996e-26,329189.03363037383,0.0830462236330707
DCUN1D5,16,51741.151505208545,0.0,572034.4811432401,0.08294833718579889
HSD17B12,10,25055.253672703373,9.701412312780254e-27,278404.25312650955,0.08256539377189932
RRP1,4,13891.570928167459,0.0,154603.92826455735,0.08244475962101698
ISCA2,25,72025.82834363973,3.101189838853663e-26,801962.7587283781,0.08241049071926235
MOB4,7,29053.796094214573,7.571328551975445e-27,324612.8965186916,0.08215021855624502
MSRB1,20,62128.20173796651,2.8562649688686946e-26,694701.3898529882,0.08209008002364827
OLFML3,16,75316.28783118009,0.0,842596.2185799193,0.08205170678592834
EIF2B1,16,29607.269257081745,0.0,331738.404068614,0.08193613883511341
RTCB,14,45911.76317041738,1.66865409039088e-26,515549.14445098606,0.08177196764227077
GTF3C6,25,71703.06223293989,4.3407839991278926e-26,808197.7632440706,0.08148993631648015
CHEK1,36,95589.49860082308,3.0402332628942474e-26,1081785.6634463044,0.0811886488539639
BANF1,10,31519.990422242296,1.2550016203164075e-26,358595.0484529047,0.08079665555351738
KLC2,7,14302.740468135395,7.317778549000446e-27,162775.23832769296,0.08077085906106096
